column,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
ODD,71374,2.6755681340544175,1.5581672807224596,2,2.4816112084063047,1,0,10,10,NA,NA,0.005832356501631309
EVEN,71753,2.6132705252742046,1.5365326908240278,2,2.411093496855565,1,0,10,10,NA,NA,0.005736166816275057
MED,3297,1.9557173187746437,1.1293114160567106,2,1.7586206896551724,1,0,9,9,NA,NA,0.01966773032525116
PARK,144,1.0486111111111112,0.5833333333333334,1,1,0,1,8,7,NA,NA,0.04861111111111111
BIKE MED,38,1.3157894736842106,0.5253191132035963,1,1.25,0,1,3,2,NA,NA,0.08521801309103931
GREENWAY,5,3.4,1.51657508881031,3,3.4,1,2,5,3,NA,NA,0.6782329983125267
